,Date (America/Chicago),"Maschhoff_BIBL_C_RM4  Temp shock - color
 (MO1936XX-P6TLS59Q)","Maschhoff_BIBL_C_RM4 Temp (°C) - data
 (MO1936XX-P6TLS59Q)","Maschhoff_BIBL_C_RM4  ReHS - color
 (MO1936XX-P6TLS59Q)","Maschhoff_BIBL_C_RM4  ReHS - data
(MO1936XX-P6TLS59Q)","Maschhoff_BIBL_WC_RM3 Temp shock - color
 (MO201201-JPTKLQ7D)","Maschhoff_BIBL_WC_RM3Temp (°C) - data
 (MO201201-JPTKLQ7D)","Maschhoff_BIBL_WC_RM3 ReHS - color
 (MO201201-JPTKLQ7D)","Maschhoff_BIBL_WC_RM3 ReHS - data
(MO201201-JPTKLQ7D)","Maschhoff_BIBL_EC_RM4 Temp shock - color
 (MO201201-4C7S5KNG)","Maschhoff_BIBL_EC_RM4Temp (°C) - data
 (MO201201-4C7S5KNG)","Maschhoff_BIBL_EC_RM4 ReHS - color
 (MO201201-4C7S5KNG)","Maschhoff_BIBL_EC_RM4 ReHS - data
(MO201201-4C7S5KNG)","Maschhoff_BIBL_EE_RM3 Temp shock - color
 (MO201201-KQQ77D7J)","Maschhoff_BIBL_EE_RM3Temp (°C) - data
 (MO201201-KQQ77D7J)","Maschhoff_BIBL_EE_RM3 ReHS - color
 (MO201201-KQQ77D7J)","Maschhoff_BIBL_EE_RM3 ReHS - data
(MO201201-KQQ77D7J)","Maschhoff_BIBL_WC_RM4 Temp shock - color
 (MO201401-8FBZLPSJ)","Maschhoff_BIBL_WC_RM4Temp (°C) - data
 (MO201401-8FBZLPSJ)","Maschhoff_BIBL_WC_RM4 ReHS - color
 (MO201401-8FBZLPSJ)","Maschhoff_BIBL_WC_RM4 ReHS - data
(MO201401-8FBZLPSJ)","Maschhoff_BIBL_WW_RM4 Temp shock - color
 (MO201401-SWCJ996P)","Maschhoff_BIBL_WW_RM4Temp (°C) - data
 (MO201401-SWCJ996P)","Maschhoff_BIBL_WW_RM4 ReHS - color
 (MO201401-SWCJ996P)","Maschhoff_BIBL_WW_RM4 ReHS - data
(MO201401-SWCJ996P)","Maschhoff_BIBL_WW_RM3 Temp shock - color
 (MO201401-8HZ6MVH5)","Maschhoff_BIBL_WW_RM3Temp (°C) - data
 (MO201401-8HZ6MVH5)","Maschhoff_BIBL_WW_RM3 ReHS - color
 (MO201401-8HZ6MVH5)","Maschhoff_BIBL_WW_RM3 ReHS - data
(MO201401-8HZ6MVH5)","Maschhoff_BIBL_EE_RM4 Temp shock - color
 (MO201401-BGHDKCLJ)","Maschhoff_BIBL_EE_RM4Temp (°C) - data
 (MO201401-BGHDKCLJ)","Maschhoff_BIBL_EE_RM4 ReHS - color
 (MO201401-BGHDKCLJ)","Maschhoff_BIBL_EE_RM4 ReHS - data
(MO201401-BGHDKCLJ)","Maschhoff_BIBL_EC_RM3 Temp shock - color
 (MO202001-DSXZ8WVL)","Maschhoff_BIBL_EC_RM3Temp (°C) - data
 (MO202001-DSXZ8WVL)","Maschhoff_BIBL_EC_RM3 ReHS - color
 (MO202001-DSXZ8WVL)","Maschhoff_BIBL_EC_RM3 ReHS - data
(MO202001-DSXZ8WVL)","Maschhoff_BIBL_C_RM3 Temp shock - color
 (MO202101-CJSR9JKN)","Maschhoff_BIBL_C_RM3Temp (°C) - data
 (MO202101-CJSR9JKN)","Maschhoff_BIBL_C_RM3 ReHS - color
 (MO202101-CJSR9JKN)","Maschhoff_BIBL_C_RM3 ReHS - data
(MO202101-CJSR9JKN)"
191,2021-08-18,yellow,25.5,green,98.0,yellow,26.0,green,99.0,yellow,26.0,green,96.0,yellow,25.5,green,97.0,yellow,26.5,green,99.0,green,27.5,green,99.0,yellow,27.0,green,98.0,green,26.5,green,97.0,yellow,25.5,green,97.0,yellow,26.0,green,96.0
192,2021-08-19,yellow,25.5,green,98.0,yellow,26.0,green,96.0,yellow,26.0,green,97.0,yellow,25.0,green,94.0,yellow,26.5,green,98.0,yellow,27.5,green,99.0,yellow,27.0,green,98.0,yellow,26.0,green,98.0,yellow,25.5,green,97.0,yellow,26.0,green,99.0
193,2021-08-20,yellow,26.0,green,97.0,yellow,26.5,green,99.0,yellow,26.5,green,97.0,yellow,25.5,green,97.0,yellow,27.0,green,99.0,yellow,28.0,green,98.0,yellow,27.0,green,99.0,yellow,26.5,green,99.0,yellow,26.0,green,96.0,yellow,26.5,green,99.0
194,2021-08-21,green,24.5,green,99.0,green,25.0,green,99.0,green,25.0,green,98.0,green,24.0,green,97.0,green,25.5,green,98.0,green,26.5,green,99.0,green,25.5,green,98.0,green,25.0,green,97.0,green,24.5,green,97.0,green,25.0,green,99.0
195,2021-08-22,yellow,26.5,green,99.0,yellow,26.5,green,99.0,yellow,27.0,green,97.0,yellow,26.0,green,93.0,yellow,27.5,green,99.0,yellow,28.0,green,98.0,yellow,27.5,green,98.0,yellow,27.0,green,99.0,yellow,26.5,green,97.0,yellow,27.0,green,98.0
196,2021-08-23,yellow,27.0,green,99.0,yellow,27.0,green,99.0,yellow,27.0,green,95.0,yellow,26.0,green,98.0,yellow,28.0,green,99.0,green,28.5,green,99.0,green,27.5,green,98.0,green,27.0,green,98.0,yellow,27.0,green,97.0,yellow,27.0,green,98.0
197,2021-08-24,red,28.0,green,99.0,yellow,28.0,green,99.0,yellow,28.0,green,96.0,yellow,27.0,green,97.0,yellow,28.5,green,99.0,yellow,29.0,green,99.0,yellow,28.5,green,99.0,yellow,28.0,green,99.0,yellow,28.0,green,97.0,yellow,28.5,green,97.0
198,2021-08-25,yellow,28.0,green,98.0,yellow,28.0,green,99.0,yellow,28.5,green,99.0,yellow,27.5,green,97.0,yellow,28.5,green,99.0,yellow,29.0,green,99.0,yellow,28.5,green,98.0,yellow,28.0,green,99.0,yellow,28.0,green,96.0,yellow,28.5,green,97.0
199,2021-08-26,green,27.0,green,98.0,green,26.5,green,99.0,green,27.0,green,98.0,green,26.5,green,94.0,green,27.5,green,99.0,green,28.0,green,97.0,green,27.5,green,99.0,green,27.0,green,98.0,green,27.0,green,98.0,green,27.0,green,98.0
200,2021-08-27,green,25.5,green,97.0,green,25.5,green,99.0,green,26.0,green,97.0,green,25.0,green,96.0,green,26.5,green,99.0,green,27.0,green,97.0,green,26.0,green,99.0,green,26.0,green,97.0,green,25.5,green,99.0,green,26.0,green,99.0
201,2021-08-28,yellow,26.5,green,99.0,yellow,26.5,green,99.0,yellow,27.0,green,99.0,yellow,26.0,green,96.0,yellow,27.5,green,99.0,yellow,28.0,green,99.0,yellow,27.0,green,97.0,yellow,27.0,green,99.0,yellow,26.5,green,97.0,yellow,27.0,green,99.0
202,2021-08-29,green,27.0,green,98.0,green,27.0,green,99.0,green,27.5,green,97.0,yellow,27.0,green,95.0,green,28.0,green,97.0,green,28.0,green,99.0,green,27.5,green,99.0,green,27.5,green,99.0,green,27.0,green,99.0,green,27.5,green,99.0
