row,col,expected,actual,file
17,29,1/0/T/F/TRUE/FALSE,,/storage/hpc/group/deckerlab/cjgwx7/sensor-data/data/production/raw/%ORIGINAL%_07-28-2022.csv
18,28,1/0/T/F/TRUE/FALSE,,/storage/hpc/group/deckerlab/cjgwx7/sensor-data/data/production/raw/%ORIGINAL%_07-28-2022.csv
18,29,1/0/T/F/TRUE/FALSE,,/storage/hpc/group/deckerlab/cjgwx7/sensor-data/data/production/raw/%ORIGINAL%_07-28-2022.csv
19,28,1/0/T/F/TRUE/FALSE,,/storage/hpc/group/deckerlab/cjgwx7/sensor-data/data/production/raw/%ORIGINAL%_07-28-2022.csv
19,29,1/0/T/F/TRUE/FALSE,,/storage/hpc/group/deckerlab/cjgwx7/sensor-data/data/production/raw/%ORIGINAL%_07-28-2022.csv
20,28,1/0/T/F/TRUE/FALSE,,/storage/hpc/group/deckerlab/cjgwx7/sensor-data/data/production/raw/%ORIGINAL%_07-28-2022.csv
20,29,1/0/T/F/TRUE/FALSE,,/storage/hpc/group/deckerlab/cjgwx7/sensor-data/data/production/raw/%ORIGINAL%_07-28-2022.csv
21,28,1/0/T/F/TRUE/FALSE,,/storage/hpc/group/deckerlab/cjgwx7/sensor-data/data/production/raw/%ORIGINAL%_07-28-2022.csv
21,29,1/0/T/F/TRUE/FALSE,,/storage/hpc/group/deckerlab/cjgwx7/sensor-data/data/production/raw/%ORIGINAL%_07-28-2022.csv
22,28,1/0/T/F/TRUE/FALSE,,/storage/hpc/group/deckerlab/cjgwx7/sensor-data/data/production/raw/%ORIGINAL%_07-28-2022.csv
22,29,1/0/T/F/TRUE/FALSE,,/storage/hpc/group/deckerlab/cjgwx7/sensor-data/data/production/raw/%ORIGINAL%_07-28-2022.csv
23,28,1/0/T/F/TRUE/FALSE,,/storage/hpc/group/deckerlab/cjgwx7/sensor-data/data/production/raw/%ORIGINAL%_07-28-2022.csv
23,29,1/0/T/F/TRUE/FALSE,,/storage/hpc/group/deckerlab/cjgwx7/sensor-data/data/production/raw/%ORIGINAL%_07-28-2022.csv
24,28,1/0/T/F/TRUE/FALSE,,/storage/hpc/group/deckerlab/cjgwx7/sensor-data/data/production/raw/%ORIGINAL%_07-28-2022.csv
24,29,1/0/T/F/TRUE/FALSE,,/storage/hpc/group/deckerlab/cjgwx7/sensor-data/data/production/raw/%ORIGINAL%_07-28-2022.csv
25,28,1/0/T/F/TRUE/FALSE,,/storage/hpc/group/deckerlab/cjgwx7/sensor-data/data/production/raw/%ORIGINAL%_07-28-2022.csv
25,29,1/0/T/F/TRUE/FALSE,,/storage/hpc/group/deckerlab/cjgwx7/sensor-data/data/production/raw/%ORIGINAL%_07-28-2022.csv
26,28,1/0/T/F/TRUE/FALSE,,/storage/hpc/group/deckerlab/cjgwx7/sensor-data/data/production/raw/%ORIGINAL%_07-28-2022.csv
26,29,1/0/T/F/TRUE/FALSE,,/storage/hpc/group/deckerlab/cjgwx7/sensor-data/data/production/raw/%ORIGINAL%_07-28-2022.csv
27,28,1/0/T/F/TRUE/FALSE,,/storage/hpc/group/deckerlab/cjgwx7/sensor-data/data/production/raw/%ORIGINAL%_07-28-2022.csv
27,29,1/0/T/F/TRUE/FALSE,,/storage/hpc/group/deckerlab/cjgwx7/sensor-data/data/production/raw/%ORIGINAL%_07-28-2022.csv
28,28,1/0/T/F/TRUE/FALSE,,/storage/hpc/group/deckerlab/cjgwx7/sensor-data/data/production/raw/%ORIGINAL%_07-28-2022.csv
28,29,1/0/T/F/TRUE/FALSE,,/storage/hpc/group/deckerlab/cjgwx7/sensor-data/data/production/raw/%ORIGINAL%_07-28-2022.csv
29,28,1/0/T/F/TRUE/FALSE,,/storage/hpc/group/deckerlab/cjgwx7/sensor-data/data/production/raw/%ORIGINAL%_07-28-2022.csv
29,29,1/0/T/F/TRUE/FALSE,,/storage/hpc/group/deckerlab/cjgwx7/sensor-data/data/production/raw/%ORIGINAL%_07-28-2022.csv
30,28,1/0/T/F/TRUE/FALSE,,/storage/hpc/group/deckerlab/cjgwx7/sensor-data/data/production/raw/%ORIGINAL%_07-28-2022.csv
