,Date (America/Chicago),"Maschhoff_TPLJ_RM1_C Temp shock - color
 (MO201601-W9GJRDGS)","Maschhoff_TPLJ_RM1_C Temp (°C) - data
 (MO201601-W9GJRDGS)","Maschhoff_TPLJ_RM1_C ReHS - color
 (MO201601-W9GJRDGS)","Maschhoff_TPLJ_RM1_C ReHS - data
 (MO201601-W9GJRDGS)","Maschhoff_TPLJ_RM1_E Temp shock - color
 (MO202701-QRND87D5)","Maschhoff_TPLJ_RM1_E Temp (°C) - data
 (MO202701-QRND87D5)","Maschhoff_TPLJ_RM1_E ReHS - color
 (MO202701-QRND87D5)","Maschhoff_TPLJ_RM1_E ReHS - data
 (MO202701-QRND87D5)","Maschhoff_TPLJ_RM1_W Temp shock - color
 (MO201601-CM9R2MZ9)","Maschhoff_TPLJ_RM1_W Temp (°C) - data
 (MO201601-CM9R2MZ9)","Maschhoff_TPLJ_RM1_W ReHS - color
 (MO201601-CM9R2MZ9)","Maschhoff_TPLJ_RM1_W ReHS - data
 (MO201601-CM9R2MZ9)","Maschhoff_TPLJ_RM2_C Temp shock - color
 (MO201301-4TG24WHN)","Maschhoff_TPLJ_RM2_C Temp (°C) - data
 (MO201301-4TG24WHN)","Maschhoff_TPLJ_RM2_C ReHS - color
 (MO201301-4TG24WHN)","Maschhoff_TPLJ_RM2_C ReHS - data
 (MO201301-4TG24WHN)","Maschhoff_TPLJ_RM2_E Temp shock - color
 (MO202501-DPMVN7MV)","Maschhoff_TPLJ_RM2_E Temp (°C) - data
 (MO202501-DPMVN7MV)","Maschhoff_TPLJ_RM2_E ReHS - color
 (MO202501-DPMVN7MV)","Maschhoff_TPLJ_RM2_E ReHS - data
 (MO202501-DPMVN7MV)","Maschhoff_TPLJ_RM2_W Temp shock - color
 (MO201301-MLJQ4R57)","Maschhoff_TPLJ_RM2_W Temp (°C) - data
 (MO201301-MLJQ4R57)","Maschhoff_TPLJ_RM2_W ReHS - color
 (MO201301-MLJQ4R57)","Maschhoff_TPLJ_RM2_W ReHS - data
 (MO201301-MLJQ4R57)"
58,2021-05-12,green,,green,,green,,green,,yellow,,green,,green,18.0,green,98.0,green,,green,,yellow,18.0,green,96.0
59,2021-05-13,green,,green,,green,,green,,green,,green,,green,19.0,green,99.0,green,,green,,yellow,19.5,green,99.0
60,2021-05-14,green,,green,,green,,green,,green,,green,,green,19.0,green,99.0,green,,green,,yellow,18.5,green,99.0
61,2021-05-15,yellow,,green,,yellow,,green,,yellow,,green,,yellow,20.5,green,99.0,yellow,,green,,green,20.5,green,99.0
62,2021-05-16,green,,green,,green,,green,,green,,green,,green,20.0,green,99.0,green,,green,,green,20.5,green,99.0
63,2021-05-17,green,,green,,green,,green,,green,,green,,green,20.0,green,99.0,green,,green,,green,20.5,green,98.0
64,2021-05-18,green,,green,,green,,green,,green,,green,,green,20.0,green,99.0,green,,green,,green,21.0,green,99.0
65,2021-05-19,yellow,,green,,yellow,,green,,yellow,,green,,green,21.5,green,97.0,yellow,,green,,green,22.5,green,96.0
66,2021-05-20,green,,green,,green,,green,,green,,green,,green,21.5,green,97.0,green,,green,,green,22.5,green,99.0
67,2021-05-21,yellow,,green,,yellow,,green,,yellow,,green,,yellow,23.5,green,99.0,yellow,,green,,yellow,24.0,green,99.0
68,2021-05-22,yellow,,green,,yellow,,green,,yellow,,green,,yellow,24.0,green,98.0,yellow,,green,,yellow,24.5,green,97.0
69,2021-05-23,yellow,,green,,yellow,,green,,yellow,,green,,yellow,24.5,green,97.0,yellow,,green,,yellow,25.0,green,99.0
70,2021-05-24,yellow,,green,,yellow,,green,,yellow,,green,,yellow,25.0,green,99.0,yellow,,green,,yellow,25.0,green,98.0
71,2021-05-25,red,,green,,red,,green,,red,,green,,red,24.5,green,99.0,red,,green,,red,25.0,green,98.0
72,2021-05-26,yellow,,green,,yellow,,green,,yellow,,green,,yellow,21.5,green,99.0,yellow,,green,,yellow,22.0,green,98.0
73,2021-05-27,green,,green,,green,,green,,green,,green,,green,19.0,green,99.0,green,,green,,green,19.0,green,99.0
