,Date (America/Chicago),"Masc_CON2_RM2_W Temp shock - color
 (MO201901-M27NVRN2)","Masc_CON2_RM2_WTemp (°C) - data
 (MO201901-M27NVRN2)","Masc_CON2_RM2_W ReHS - color
 (MO201901-M27NVRN2)","Masc_CON2_RM2_W ReHS - data
(MO201901-M27NVRN2)","Masc_CON2_RM1_E Temp shock - color
 (MO201901-ZLBQ8MLB)","Masc_CON2_RM1_ETemp (°C) - data
 (MO201901-ZLBQ8MLB)","Masc_CON2_RM1_E ReHS - color
 (MO201901-ZLBQ8MLB)","Masc_CON2_RM1_E ReHS - data
(MO201901-ZLBQ8MLB)","Masc_CON2_RM2_E Temp shock - color
 (MO201901-G5SZFQP7)","Masc_CON2_RM2_ETemp (°C) - data
 (MO201901-G5SZFQP7)","Masc_CON2_RM2_E ReHS - color
 (MO201901-G5SZFQP7)","Masc_CON2_RM2_E ReHS - data
(MO201901-G5SZFQP7)","Masc_CON2_RM1_C Temp shock - color
 (MO202001-PRXSQLHL)","Masc_CON2_RM1_CTemp (°C) - data
 (MO202001-PRXSQLHL)","Masc_CON2_RM1_C ReHS - color
 (MO202001-PRXSQLHL)","Masc_CON2_RM1_C ReHS - data
(MO202001-PRXSQLHL)","Masc_CON2_RM2_C Temp shock - color
 (MO202101-HCX6C8CH)","Masc_CON2_RM2_CTemp (°C) - data
 (MO202101-HCX6C8CH)","Masc_CON2_RM2_C ReHS - color
 (MO202101-HCX6C8CH)","Masc_CON2_RM2_C ReHS - data
(MO202101-HCX6C8CH)","Masc_CON2_RM1_W Temp shock - color
 (MO202101-FDHQ4HCS)","Masc_CON2_RM1_WTemp (°C) - data
 (MO202101-FDHQ4HCS)","Masc_CON2_RM1_W ReHS - color
 (MO202101-FDHQ4HCS)","Masc_CON2_RM1_W ReHS - data
(MO202101-FDHQ4HCS)"
82,2021-03-01,green,22.0,green,88.0,green,22.0,green,96.0,green,21.0,green,98.0,green,20.0,green,98.0,green,20.0,green,87.0,green,,green,
83,2021-03-02,green,22.0,green,88.0,green,22.0,green,95.0,green,20.5,green,95.0,green,20.0,green,96.0,green,18.5,green,85.0,green,,green,
84,2021-03-03,green,22.5,green,85.0,green,22.5,green,96.0,green,21.5,green,96.0,green,20.5,green,97.0,green,19.5,green,73.0,green,,green,
85,2021-03-04,green,22.5,green,88.0,green,21.5,green,96.0,green,20.5,green,97.0,yellow,20.0,green,97.0,yellow,19.0,green,80.0,green,,green,
86,2021-03-05,green,22.0,green,88.0,green,21.5,green,91.0,green,20.0,green,99.0,yellow,20.0,green,97.0,green,18.5,green,86.0,green,,green,
87,2021-03-06,green,22.5,green,87.0,green,21.5,green,97.0,green,21.0,green,98.0,green,20.0,green,96.0,green,18.5,green,83.0,green,,green,
88,2021-03-07,green,22.0,green,89.0,green,21.5,green,97.0,green,21.0,green,98.0,green,19.5,green,96.0,yellow,19.0,green,87.0,green,,green,
89,2021-03-08,green,22.0,green,92.0,green,22.0,green,99.0,green,21.5,green,99.0,green,20.0,green,96.0,green,19.0,green,90.0,green,,green,
90,2021-03-09,green,22.0,green,93.0,green,22.0,green,98.0,green,21.0,green,98.0,green,20.5,green,91.0,green,20.0,green,92.0,green,,green,
91,2021-03-10,green,22.0,green,89.0,green,21.5,green,99.0,green,21.5,green,98.0,green,20.5,green,96.0,green,20.0,green,92.0,green,,green,
92,2021-03-11,green,21.5,green,91.0,green,20.5,green,96.0,green,20.0,green,94.0,yellow,17.5,green,97.0,green,17.5,green,76.0,green,,green,
93,2021-03-12,green,21.5,green,91.0,green,20.5,green,97.0,green,20.0,green,79.0,green,17.0,green,96.0,green,17.5,green,80.0,green,,green,
94,2021-03-13,green,21.5,green,94.0,green,20.5,green,97.0,green,20.0,green,87.0,green,17.5,green,97.0,green,18.0,green,95.0,green,,green,
95,2021-03-14,green,22.0,green,90.0,green,20.0,green,98.0,green,20.0,green,95.0,green,17.5,green,97.0,green,17.0,green,91.0,green,,green,
96,2021-03-15,green,22.0,green,95.0,green,19.5,green,96.0,green,19.5,green,96.0,green,15.5,green,98.0,green,16.0,green,92.0,green,,green,
97,2021-03-16,green,21.0,green,97.0,green,19.5,green,97.0,green,19.0,green,97.0,green,15.5,green,98.0,green,16.5,green,93.0,green,,green,
98,2021-03-17,green,21.5,green,97.0,green,19.5,green,97.0,green,19.5,green,99.0,green,15.5,green,96.0,green,15.5,green,89.0,green,,green,
99,2021-03-18,green,21.0,green,97.0,green,19.5,green,99.0,green,20.0,green,95.0,yellow,16.5,green,95.0,yellow,17.0,green,93.0,green,,green,
100,2021-03-19,green,21.0,green,96.0,green,20.0,green,98.0,green,19.5,green,99.0,red,16.0,green,97.0,yellow,17.5,green,93.0,green,,green,
101,2021-03-20,green,20.5,green,94.0,green,20.0,green,97.0,green,19.5,green,99.0,yellow,17.0,green,97.0,green,18.0,green,94.0,green,,green,
102,2021-03-21,green,21.0,green,97.0,green,21.0,green,99.0,green,20.0,green,98.0,green,18.0,green,94.0,green,19.0,green,96.0,green,,green,
103,2021-03-22,green,20.5,green,96.0,green,19.0,green,99.0,green,19.5,green,99.0,green,16.0,green,95.0,green,17.0,green,96.0,green,,green,
104,2021-03-23,green,21.0,green,95.0,green,21.5,green,98.0,green,19.0,green,97.0,green,20.5,green,96.0,green,18.0,green,93.0,green,,green,
105,2021-03-24,green,21.0,green,91.0,green,20.0,green,98.0,green,19.5,green,99.0,green,17.5,green,95.0,green,16.0,green,92.0,green,,green,
106,2021-03-25,green,20.5,yellow,54.0,green,19.0,green,82.0,green,19.5,green,96.0,green,15.5,green,94.0,green,16.5,green,66.0,green,,green,
107,2021-03-26,green,21.0,red,32.0,green,19.5,yellow,51.0,green,19.5,yellow,55.0,green,16.5,green,81.0,green,17.0,yellow,52.0,green,,yellow,
108,2021-03-27,green,21.0,red,33.0,green,19.0,yellow,44.0,green,19.5,yellow,54.0,green,16.0,green,66.0,green,16.5,yellow,51.0,green,,red,
109,2021-03-28,green,20.0,red,35.0,green,19.0,yellow,51.0,green,18.5,green,78.0,yellow,15.5,yellow,56.0,green,16.5,yellow,57.0,green,,red,
110,2021-03-29,yellow,21.0,red,36.0,yellow,21.0,green,82.0,yellow,21.0,green,82.0,yellow,19.0,green,75.0,yellow,19.5,yellow,56.0,yellow,,yellow,
111,2021-03-30,green,20.5,yellow,45.0,green,19.0,green,82.0,green,19.5,green,66.0,green,15.0,yellow,52.0,green,16.0,yellow,53.0,green,,red,
112,2021-03-31,green,19.5,green,78.0,green,19.0,green,79.0,green,18.5,green,76.0,green,14.0,green,68.0,green,15.0,green,79.0,green,,yellow,
113,2021-04-01,green,19.5,green,86.0,green,19.5,green,93.0,green,19.0,green,90.0,green,15.0,green,86.0,yellow,16.5,green,88.0,green,,green,
114,2021-04-02,green,20.5,green,94.0,green,20.0,green,97.0,green,19.5,green,99.0,yellow,17.5,green,96.0,green,18.0,green,93.0,green,,green,
115,2021-04-03,yellow,22.0,green,93.0,yellow,21.0,green,99.0,yellow,21.5,green,98.0,yellow,19.5,green,96.0,red,20.5,green,96.0,yellow,,green,
116,2021-04-04,red,23.0,green,94.0,red,23.0,green,99.0,red,22.5,green,98.0,red,21.0,green,97.0,red,21.5,green,95.0,red,,green,
117,2021-04-05,red,23.0,green,99.0,yellow,24.0,green,99.0,yellow,23.5,green,98.0,yellow,23.5,green,97.0,red,23.5,green,96.0,yellow,,green,
118,2021-04-06,yellow,21.5,green,98.0,yellow,22.5,green,98.0,yellow,22.0,green,99.0,yellow,21.5,green,97.0,yellow,21.5,green,98.0,yellow,,green,
119,2021-04-07,green,21.0,green,97.0,green,21.5,green,99.0,green,21.0,green,99.0,green,20.0,green,99.0,green,21.0,green,99.0,green,,green,
120,2021-04-08,green,21.0,green,98.0,green,19.0,green,99.0,green,19.0,green,99.0,green,17.5,green,96.0,purple,101.5,green,99.0,green,,green,
121,2021-04-09,green,21.0,green,98.0,green,19.0,green,98.0,green,19.5,green,98.0,green,17.0,green,99.0,green,45.5,green,96.0,green,,green,
122,2021-04-10,green,20.5,green,98.0,green,19.5,green,99.0,green,19.5,green,98.0,yellow,17.0,green,96.0,yellow,18.0,green,98.0,green,,green,
123,2021-04-11,green,21.0,green,99.0,green,19.5,green,99.0,green,20.0,green,98.0,green,17.0,green,97.0,green,18.5,green,96.0,green,,green,
124,2021-04-12,green,21.0,green,96.0,green,19.5,green,97.0,green,19.5,green,97.0,yellow,16.5,green,98.0,yellow,18.0,green,94.0,green,,green,
125,2021-04-13,green,20.5,green,96.0,green,19.0,green,99.0,green,19.0,green,98.0,yellow,15.5,green,97.0,yellow,16.5,green,97.0,green,,green,
126,2021-04-14,green,20.0,green,95.0,green,18.5,green,97.0,green,19.0,green,94.0,yellow,14.5,green,97.0,yellow,16.5,green,97.0,green,,green,
127,2021-04-15,green,20.5,green,97.0,green,18.5,green,98.0,green,19.0,green,71.0,green,15.0,green,98.0,green,16.5,green,97.0,green,,green,
128,2021-04-16,green,20.5,green,98.0,green,18.5,green,97.0,green,18.5,green,87.0,green,16.0,green,99.0,green,17.5,green,97.0,green,,green,
129,2021-04-17,green,20.5,green,93.0,green,19.0,green,97.0,green,20.0,green,88.0,green,17.0,green,95.0,green,18.5,green,94.0,green,,green,
130,2021-04-18,red,20.0,green,98.0,yellow,20.0,green,96.0,green,20.0,green,99.0,yellow,17.5,green,98.0,yellow,19.0,green,95.0,yellow,,green,
131,2021-04-19,green,20.0,green,99.0,green,18.5,green,98.0,green,18.5,green,97.0,purple,88.5,green,95.0,green,15.0,green,96.0,green,,green,
132,2021-04-20,green,19.5,green,97.0,green,18.0,green,98.0,green,17.5,green,96.0,green,103.0,green,88.0,green,16.0,green,95.0,green,,green,
133,2021-04-21,green,20.0,green,95.0,green,18.0,green,95.0,green,18.5,green,98.0,green,14.5,green,87.0,green,16.0,green,96.0,green,,green,
134,2021-04-22,green,19.0,green,93.0,green,19.5,green,99.0,green,18.5,green,99.0,green,17.0,green,87.0,green,18.0,green,97.0,green,,green,
135,2021-04-23,green,20.0,green,93.0,green,19.5,green,99.0,green,19.0,green,97.0,yellow,18.0,green,94.0,green,18.5,green,96.0,green,,green,
136,2021-04-24,green,20.0,green,96.0,green,19.5,green,99.0,green,19.5,green,98.0,yellow,16.0,green,96.0,yellow,17.5,green,96.0,green,,green,
137,2021-04-25,green,20.5,green,99.0,green,20.0,green,99.0,green,20.5,green,98.0,green,17.5,green,96.0,green,18.5,green,97.0,green,,green,
138,2021-04-26,red,24.0,green,96.0,red,24.0,green,99.0,red,23.5,green,96.0,red,22.5,green,95.0,red,23.5,green,97.0,red,,green,
139,2021-04-27,green,21.0,green,97.0,green,21.0,green,99.0,green,20.5,green,98.0,green,19.5,green,93.0,green,20.5,green,91.0,green,,green,
140,2021-04-28,green,20.5,green,99.0,green,20.0,green,98.0,green,19.5,green,99.0,green,18.5,green,95.0,yellow,19.5,green,97.0,green,,green,
141,2021-04-29,green,21.5,green,94.0,green,21.5,green,99.0,yellow,21.0,green,98.0,yellow,19.0,green,94.0,yellow,20.0,green,94.0,green,,green,
142,2021-04-30,yellow,21.5,green,96.0,yellow,22.0,green,99.0,yellow,21.0,green,99.0,yellow,20.0,green,94.0,yellow,20.5,green,93.0,yellow,,green,
143,2021-05-01,red,25.5,green,97.0,red,25.5,green,99.0,red,24.5,green,99.0,red,25.0,green,98.0,red,25.0,green,96.0,red,,green,
144,2021-05-02,red,23.0,green,98.0,red,24.0,green,99.0,red,23.0,green,99.0,red,23.5,green,97.0,red,23.5,green,97.0,red,,green,
145,2021-05-03,green,20.5,green,97.0,green,20.5,green,97.0,green,20.0,green,99.0,green,19.5,green,96.0,green,20.0,green,98.0,green,,green,
