,Date (America/Chicago),"Maschhoff_G1TC_RM1_CC Temp shock - color
 (MO201901-5K656G4J)","Maschhoff_G1TC_RM1_CC Temp (°C) - data
 (MO201901-5K656G4J)","Maschhoff_G1TC_RM1_CC ReHS - color
 (MO201901-5K656G4J)","Maschhoff_G1TC_RM1_CC ReHS - data
 (MO201901-5K656G4J)","Maschhoff_G1TC_RM1_N Temp shock - color
 (MO202101-LPSDQKHB)","Maschhoff_G1TC_RM1_N Temp (°C) - data
 (MO202101-LPSDQKHB)","Maschhoff_G1TC_RM1_N ReHS - color
 (MO202101-LPSDQKHB)","Maschhoff_G1TC_RM1_N ReHS - data
 (MO202101-LPSDQKHB)","Maschhoff_G1TC_RM1_NC Temp shock - color
 (MO201901-CP26R28V)","Maschhoff_G1TC_RM1_NC Temp (°C) - data
 (MO201901-CP26R28V)","Maschhoff_G1TC_RM1_NC ReHS - color
 (MO201901-CP26R28V)","Maschhoff_G1TC_RM1_NC ReHS - data
 (MO201901-CP26R28V)","Maschhoff_G1TC_RM1_S Temp shock - color
 (MO201601-FTC7LCLZ)","Maschhoff_G1TC_RM1_S Temp (°C) - data
 (MO201601-FTC7LCLZ)","Maschhoff_G1TC_RM1_S ReHS - color
 (MO201601-FTC7LCLZ)","Maschhoff_G1TC_RM1_S ReHS - data
 (MO201601-FTC7LCLZ)","Maschhoff_G1TC_RM1_SC Temp shock - color
 (MO202201-X2LJ7F79)","Maschhoff_G1TC_RM1_SC Temp (°C) - data
 (MO202201-X2LJ7F79)","Maschhoff_G1TC_RM1_SC ReHS - color
 (MO202201-X2LJ7F79)","Maschhoff_G1TC_RM1_SC ReHS - data
 (MO202201-X2LJ7F79)","Maschhoff_G1TC_RM2_CC Temp shock - color
 (MO201601-9CXHNX97)","Maschhoff_G1TC_RM2_CC Temp (°C) - data
 (MO201601-9CXHNX97)","Maschhoff_G1TC_RM2_CC ReHS - color
 (MO201601-9CXHNX97)","Maschhoff_G1TC_RM2_CC ReHS - data
 (MO201601-9CXHNX97)","Maschhoff_G1TC_RM2_N Temp shock - color
 (MO201901-2MLQLGBV)","Maschhoff_G1TC_RM2_N Temp (°C) - data
 (MO201901-2MLQLGBV)","Maschhoff_G1TC_RM2_N ReHS - color
 (MO201901-2MLQLGBV)","Maschhoff_G1TC_RM2_N ReHS - data
 (MO201901-2MLQLGBV)","Maschhoff_G1TC_RM2_NC Temp shock - color
 (MO202601-HV4JJK6F)","Maschhoff_G1TC_RM2_NC Temp (°C) - data
 (MO202601-HV4JJK6F)","Maschhoff_G1TC_RM2_NC ReHS - color
 (MO202601-HV4JJK6F)","Maschhoff_G1TC_RM2_NC ReHS - data
 (MO202601-HV4JJK6F)","Maschhoff_G1TC_RM2_S Temp shock - color
 (MO201901-2BC5ZZKR)","Maschhoff_G1TC_RM2_S Temp (°C) - data
 (MO201901-2BC5ZZKR)","Maschhoff_G1TC_RM2_S ReHS - color
 (MO201901-2BC5ZZKR)","Maschhoff_G1TC_RM2_S ReHS - data
 (MO201901-2BC5ZZKR)","Maschhoff_G1TC_RM2_SC Temp shock - color
 (MO201401-P9DTQ8WT)","Maschhoff_G1TC_RM2_SC Temp (°C) - data
 (MO201401-P9DTQ8WT)","Maschhoff_G1TC_RM2_SC ReHS - color
 (MO201401-P9DTQ8WT)","Maschhoff_G1TC_RM2_SC ReHS - data
 (MO201401-P9DTQ8WT)"
44,2021-02-03,green,26.0,green,93.0,green,26.5,green,92.0,green,26.0,green,94.0,green,26.0,green,94.0,green,28.0,green,95.0,green,27.0,green,99.0,green,27.5,green,99.0,green,26.5,green,99.0,green,28.0,green,95.0,green,27.5,green,96.0
45,2021-02-04,green,25.5,green,96.0,green,26.0,green,86.0,green,25.5,green,94.0,green,25.0,green,96.0,green,27.0,green,93.0,green,26.0,green,99.0,green,26.5,green,96.0,green,26.0,green,96.0,green,27.0,green,96.0,green,27.0,green,95.0
46,2021-02-05,green,25.5,green,96.0,green,26.0,green,94.0,green,25.5,green,95.0,green,25.5,green,96.0,green,27.0,green,92.0,green,26.0,green,98.0,green,26.0,green,98.0,green,25.5,green,98.0,green,26.5,green,96.0,green,26.0,green,99.0
47,2021-02-06,green,25.0,green,96.0,green,25.0,green,97.0,green,25.0,green,95.0,green,25.5,green,95.0,green,27.0,green,93.0,green,26.5,green,98.0,green,26.0,green,96.0,green,25.5,green,97.0,green,27.0,green,90.0,green,26.5,green,95.0
48,2021-02-07,green,24.5,green,91.0,green,24.5,green,95.0,green,24.5,green,89.0,green,25.0,green,93.0,green,26.5,green,93.0,green,25.5,green,99.0,green,25.0,green,97.0,green,25.0,green,98.0,green,26.0,green,94.0,green,26.0,green,93.0
49,2021-02-08,green,24.5,green,96.0,green,25.0,green,93.0,green,24.5,green,95.0,green,25.0,green,93.0,green,26.5,green,95.0,green,25.0,green,99.0,green,25.0,green,98.0,green,24.5,green,99.0,green,26.0,green,88.0,green,25.5,green,88.0
50,2021-02-09,green,24.5,green,95.0,green,24.0,green,92.0,green,24.5,green,94.0,green,24.5,green,83.0,green,26.5,green,87.0,green,24.5,green,99.0,green,24.0,green,97.0,green,24.0,green,97.0,green,25.0,green,93.0,green,25.0,green,93.0
51,2021-02-10,green,23.5,green,88.0,green,23.5,green,92.0,green,24.0,green,88.0,green,24.0,green,86.0,green,26.0,green,88.0,green,24.0,green,99.0,green,24.0,green,97.0,green,24.0,green,95.0,green,25.5,green,86.0,green,25.0,green,93.0
52,2021-02-11,green,23.0,green,97.0,green,23.0,green,93.0,green,23.5,green,95.0,green,23.5,green,95.0,green,25.0,green,91.0,green,25.0,green,98.0,green,25.0,green,92.0,green,25.0,green,91.0,green,26.5,green,82.0,green,25.5,green,92.0
53,2021-02-12,green,23.5,green,92.0,green,23.5,green,97.0,green,24.0,green,94.0,yellow,24.0,green,95.0,yellow,25.5,green,96.0,green,24.0,green,99.0,green,24.0,green,93.0,green,24.0,green,91.0,green,25.0,green,87.0,green,24.0,green,90.0
54,2021-02-13,green,23.0,green,92.0,green,24.0,green,92.0,green,24.0,green,92.0,green,24.5,green,96.0,green,25.0,green,91.0,green,23.5,green,97.0,green,24.0,green,93.0,green,24.0,green,93.0,green,24.5,green,90.0,green,24.0,green,89.0
55,2021-02-14,green,23.0,green,95.0,green,23.5,green,96.0,green,23.5,green,97.0,green,24.0,green,89.0,green,24.5,green,95.0,green,23.5,green,98.0,green,24.0,green,94.0,green,24.0,green,91.0,green,24.5,green,87.0,green,24.0,green,92.0
56,2021-02-15,green,23.0,green,95.0,green,23.5,green,96.0,green,23.5,green,94.0,green,24.0,green,94.0,green,25.0,green,95.0,green,23.5,green,99.0,green,24.0,green,93.0,green,24.0,green,87.0,green,24.5,green,84.0,green,24.0,green,89.0
57,2021-02-16,green,22.5,green,95.0,green,23.0,green,96.0,green,23.0,green,96.0,green,23.0,green,97.0,green,24.5,green,94.0,green,23.5,green,99.0,green,24.0,green,92.0,green,23.5,green,93.0,green,25.0,green,86.0,green,24.5,green,89.0
58,2021-02-17,green,22.0,green,94.0,green,23.0,green,94.0,green,22.5,green,95.0,green,23.0,green,97.0,green,24.0,green,97.0,green,23.0,green,96.0,green,23.5,green,90.0,green,23.0,green,92.0,green,24.5,green,85.0,green,24.0,green,84.0
59,2021-02-18,green,21.5,green,98.0,green,23.0,green,97.0,green,22.5,green,93.0,green,22.0,green,97.0,green,23.5,green,97.0,green,23.5,green,96.0,green,23.0,green,95.0,green,23.5,green,92.0,green,24.5,green,89.0,green,24.0,green,84.0
