,Date (America/Chicago),"Maschhoff_4NL2_RM1_C Temp shock - color
 (MO202201-5PKPG4SX)","Maschhoff_4NL2_RM1_C Temp (°C) - data
 (MO202201-5PKPG4SX)","Maschhoff_4NL2_RM1_C ReHS - color
 (MO202201-5PKPG4SX)","Maschhoff_4NL2_RM1_C ReHS - data
 (MO202201-5PKPG4SX)","Maschhoff_4NL2_RM1_E Temp shock - color
 (MO201901-S5WWLTCR)","Maschhoff_4NL2_RM1_E Temp (°C) - data
 (MO201901-S5WWLTCR)","Maschhoff_4NL2_RM1_E ReHS - color
 (MO201901-S5WWLTCR)","Maschhoff_4NL2_RM1_E ReHS - data
 (MO201901-S5WWLTCR)","Maschhoff_4NL2_RM1_W Temp shock - color
 (MO202101-C6RVS5CD)","Maschhoff_4NL2_RM1_W Temp (°C) - data
 (MO202101-C6RVS5CD)","Maschhoff_4NL2_RM1_W ReHS - color
 (MO202101-C6RVS5CD)","Maschhoff_4NL2_RM1_W ReHS - data
 (MO202101-C6RVS5CD)","Maschhoff_4NL2_RM2_C Temp shock - color
 (MO202101-XQTNSFJB)","Maschhoff_4NL2_RM2_C Temp (°C) - data
 (MO202101-XQTNSFJB)","Maschhoff_4NL2_RM2_C ReHS - color
 (MO202101-XQTNSFJB)","Maschhoff_4NL2_RM2_C ReHS - data
 (MO202101-XQTNSFJB)","Maschhoff_4NL2_RM2_E Temp shock - color
 (MO202101-LCCRBFFN)","Maschhoff_4NL2_RM2_E Temp (°C) - data
 (MO202101-LCCRBFFN)","Maschhoff_4NL2_RM2_E ReHS - color
 (MO202101-LCCRBFFN)","Maschhoff_4NL2_RM2_E ReHS - data
 (MO202101-LCCRBFFN)","Maschhoff_4NL2_RM2_W Temp shock - color
 (MO201901-9JN9RLN4)","Maschhoff_4NL2_RM2_W Temp (°C) - data
 (MO201901-9JN9RLN4)","Maschhoff_4NL2_RM2_W ReHS - color
 (MO201901-9JN9RLN4)","Maschhoff_4NL2_RM2_W ReHS - data
 (MO201901-9JN9RLN4)"
62,2021-02-21,green,21.0,green,98.0,green,23.5,green,99.0,green,23.0,green,95.0,green,23.0,green,99.0,green,,green,,green,24.5,green,96.0
63,2021-02-22,green,21.5,green,98.0,green,23.5,green,99.0,green,23.5,green,97.0,green,24.0,green,99.0,green,,green,,green,25.5,green,99.0
64,2021-02-23,yellow,20.5,green,99.0,green,24.0,green,99.0,green,23.5,green,99.0,green,23.0,green,99.0,green,,green,,green,25.5,green,99.0
65,2021-02-24,green,21.5,green,99.0,green,24.0,green,98.0,green,24.0,green,98.0,yellow,23.0,green,98.0,green,,green,,green,25.5,green,97.0
66,2021-02-25,green,20.5,green,99.0,green,23.5,green,98.0,green,23.0,green,97.0,green,22.5,green,97.0,green,,green,,green,24.0,green,98.0
67,2021-02-26,green,21.0,green,99.0,green,24.0,green,99.0,green,23.5,green,99.0,green,22.0,green,98.0,green,,green,,green,24.5,green,99.0
68,2021-02-27,green,22.0,green,98.0,green,23.5,green,99.0,green,23.5,green,99.0,green,23.0,green,99.0,green,,green,,green,25.0,green,99.0
69,2021-02-28,green,23.0,green,99.0,green,23.0,green,99.0,green,24.5,green,99.0,green,24.0,green,99.0,green,,green,,green,25.5,green,93.0
70,2021-03-01,green,22.0,green,99.0,green,23.5,green,99.0,green,23.5,green,99.0,green,23.5,green,96.0,green,,green,,green,25.0,green,96.0
71,2021-03-02,green,21.0,green,99.0,green,23.5,green,98.0,green,23.0,green,99.0,yellow,23.0,green,98.0,green,,green,,green,25.0,green,99.0
72,2021-03-03,green,22.0,green,98.0,green,24.0,green,98.0,green,23.5,green,96.0,green,24.5,green,99.0,green,,green,,green,25.5,green,99.0
73,2021-03-04,green,20.5,green,98.0,green,23.5,green,97.0,green,23.0,green,98.0,green,23.0,green,99.0,green,,green,,green,25.5,green,99.0
74,2021-03-05,green,21.0,green,99.0,green,23.0,green,96.0,green,23.0,green,99.0,green,23.5,green,98.0,green,,green,,green,25.5,green,99.0
75,2021-03-06,green,21.5,green,98.0,green,23.0,green,99.0,green,23.5,green,99.0,green,24.0,green,98.0,green,,green,,green,25.5,green,99.0
76,2021-03-07,green,21.5,green,99.0,green,23.5,green,98.0,green,23.5,green,99.0,green,23.5,green,96.0,green,,green,,green,25.5,green,99.0
77,2021-03-08,green,22.0,green,99.0,green,23.5,green,99.0,green,24.0,green,98.0,green,24.0,green,99.0,green,,green,,green,25.5,green,99.0
78,2021-03-09,green,22.0,green,98.0,green,23.0,green,98.0,green,24.0,green,96.0,green,23.5,green,99.0,green,,green,,green,26.0,green,99.0
79,2021-03-10,green,22.5,green,99.0,green,23.5,green,96.0,green,23.5,green,99.0,green,24.0,green,99.0,green,,green,,green,25.5,green,99.0
80,2021-03-11,green,21.5,green,99.0,green,23.0,green,99.0,green,23.0,green,98.0,green,23.5,green,98.0,green,,green,,green,26.0,green,99.0
81,2021-03-12,green,21.5,green,99.0,green,23.0,green,99.0,green,22.5,green,99.0,green,24.0,green,98.0,green,,green,,green,25.5,green,99.0
82,2021-03-13,green,21.0,green,99.0,green,23.0,green,96.0,green,22.5,green,99.0,green,23.5,green,98.0,green,,green,,green,25.5,green,97.0
83,2021-03-14,green,21.0,green,99.0,green,23.0,green,99.0,green,21.5,green,99.0,green,23.0,green,99.0,green,,green,,green,25.0,green,97.0
84,2021-03-15,green,20.0,green,99.0,green,23.5,green,98.0,green,21.0,green,99.0,yellow,19.5,green,98.0,green,,green,,green,22.5,green,99.0
85,2021-03-16,blue,18.0,blue,,blue,24.0,blue,,blue,18.5,blue,,blue,16.5,blue,,blue,,blue,,blue,20.5,blue,
86,2021-03-17,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
87,2021-03-18,green,12.5,blue,,green,11.5,blue,,green,12.0,blue,,red,17.5,blue,,red,,blue,,yellow,14.5,blue,
88,2021-03-19,green,13.0,green,97.0,green,12.0,green,98.0,green,12.5,green,99.0,green,18.5,green,99.0,yellow,,green,,green,16.5,green,99.0
89,2021-03-20,green,13.0,green,99.0,green,12.5,green,99.0,green,12.0,green,96.0,green,17.5,green,98.0,green,,green,,green,16.5,green,97.0
90,2021-03-21,green,13.5,green,99.0,green,13.5,green,99.0,green,13.0,green,98.0,green,19.5,green,99.0,green,,green,,yellow,19.0,green,99.0
91,2021-03-22,green,13.5,green,99.0,green,13.5,green,96.0,green,13.0,green,98.0,green,27.0,green,97.0,green,,green,,green,27.0,green,96.0
92,2021-03-23,green,13.5,green,99.0,green,13.5,green,99.0,green,13.0,green,99.0,yellow,29.0,green,81.0,yellow,,green,,yellow,29.0,green,82.0
