,Date (America/Chicago),"Barn 1, Room 1 Temperature shock - color","Barn 1, Room 1 Temperature - data","Barn 1, Room 1 ReHS - color","Barn 1, Room 1 ReHS - data","Barn 1, Room 2 Temperature shock - color","Barn 1, Room 2 Temperature - data","Barn 1, Room 2 ReHS - color","Barn 1, Room 2 ReHS - data"
166,2021-06-21,green,22.77,green,90.0,green,23.31,green,93.0
183,2021-06-22,green,22.06,green,95.0,green,23.2,green,95.0
184,2021-06-23,yellow,24.56,green,98.0,yellow,25.4,green,96.0
185,2021-06-24,green,23.14,green,96.0,green,23.58,green,96.0
186,2021-06-25,yellow,24.76,green,96.0,yellow,25.21,green,96.0
187,2021-06-26,green,25.42,green,95.0,green,25.76,green,96.0
188,2021-06-27,yellow,25.47,green,96.0,yellow,25.76,green,97.0
189,2021-06-28,green,25.06,green,94.0,green,25.36,green,95.0
190,2021-06-29,yellow,25.68,green,96.0,green,26.07,green,97.0
191,2021-06-30,green,24.0,green,97.0,green,24.28,green,96.0
192,2021-07-01,yellow,24.43,green,97.0,yellow,24.78,green,96.0
193,2021-07-02,yellow,21.85,green,98.0,green,22.83,green,97.0
194,2021-07-03,yellow,22.72,green,98.0,yellow,23.49,green,98.0
195,2021-07-04,yellow,24.82,green,97.0,yellow,25.63,green,97.0
196,2021-07-05,yellow,25.95,green,98.0,yellow,26.47,green,96.0
197,2021-07-06,yellow,35.47,green,99.0,yellow,26.38,green,97.0
198,2021-07-07,yellow,50.31,green,97.0,yellow,26.66,green,97.0
199,2021-07-08,green,22.9,green,98.0,green,23.09,green,98.0
200,2021-07-09,yellow,20.78,green,99.0,yellow,21.01,green,97.0
201,2021-07-10,green,20.83,green,98.0,green,20.85,green,97.0
202,2021-07-11,green,21.61,green,98.0,green,21.54,green,98.0
203,2021-07-12,green,21.25,green,97.0,green,21.11,green,97.0
204,2021-07-13,green,22.18,green,97.0,yellow,22.67,green,98.0
205,2021-07-14,green,24.59,green,96.0,yellow,24.68,green,97.0
206,2021-07-15,green,24.07,green,99.0,green,23.45,green,96.0
207,2021-07-16,green,22.66,green,96.0,green,22.54,green,98.0
208,2021-07-17,yellow,23.2,green,96.0,yellow,23.16,green,99.0
209,2021-07-18,yellow,23.92,green,96.0,yellow,24.11,green,97.0
210,2021-07-19,blue,24.84,green,99.0,blue,26.0,green,95.0
211,2021-07-20,green,26.49,green,99.0,green,29.14,green,89.0
212,2021-07-21,green,26.97,green,97.0,green,29.47,green,97.0
213,2021-07-22,green,27.89,green,98.0,yellow,30.07,green,98.0
214,2021-07-23,green,28.42,green,96.0,yellow,30.07,green,92.0
215,2021-07-24,yellow,29.08,green,98.0,yellow,30.12,green,98.0
216,2021-07-25,yellow,28.48,green,98.0,yellow,29.4,green,97.0
217,2021-07-26,blue,27.79,green,99.0,blue,29.52,green,97.0
218,2021-07-27,blue,27.41,green,98.0,blue,29.11,green,94.0
219,2021-07-28,blue,27.73,green,96.0,blue,29.09,green,96.0
220,2021-07-29,blue,28.2,green,98.0,blue,28.54,green,98.0
221,2021-07-30,blue,26.8,green,94.0,blue,26.06,green,93.0
222,2021-07-31,green,26.62,green,90.0,green,21.3,green,92.0
223,2021-08-01,green,27.13,green,85.0,green,23.69,green,86.0
224,2021-08-02,green,26.84,green,91.0,green,23.16,green,94.0
225,2021-08-03,green,27.24,green,88.0,green,23.94,green,92.0
226,2021-08-04,green,27.92,green,90.0,red,26.79,green,94.0
227,2021-08-05,green,27.58,green,88.0,red,27.34,green,90.0
228,2021-08-06,green,27.28,green,95.0,red,28.53,green,87.0
229,2021-08-07,green,28.93,green,93.0,green,30.93,green,85.0
230,2021-08-08,green,28.63,green,93.0,green,30.36,green,82.0
231,2021-08-09,green,28.32,green,95.0,green,30.43,green,89.0
232,2021-08-10,green,29.97,green,94.0,green,31.68,green,91.0
233,2021-08-11,green,29.04,green,94.0,yellow,31.11,green,91.0
234,2021-08-12,green,26.66,green,92.0,green,28.41,green,94.0
235,2021-08-13,green,26.12,green,90.0,green,28.22,green,93.0
236,2021-08-14,green,25.35,green,83.0,yellow,27.68,green,95.0
237,2021-08-15,yellow,24.6,green,94.0,green,27.02,green,87.0
238,2021-08-16,green,24.78,green,91.0,green,26.37,green,88.0
239,2021-08-17,green,26.17,green,79.0,green,26.39,green,90.0
240,2021-08-18,yellow,27.41,green,87.0,green,27.39,green,86.0
241,2021-08-19,yellow,27.36,green,85.0,green,27.53,green,95.0
242,2021-08-20,green,27.52,green,88.0,green,27.75,green,96.0
243,2021-08-21,green,26.94,green,88.0,green,27.27,green,93.0
244,2021-08-22,yellow,26.89,green,88.0,green,26.9,green,92.0
245,2021-08-23,green,26.84,green,92.0,green,27.03,green,93.0
246,2021-08-24,yellow,28.6,green,89.0,yellow,28.76,green,96.0
247,2021-08-25,yellow,28.22,green,88.0,yellow,28.47,green,96.0
248,2021-08-26,green,27.14,green,90.0,green,27.39,green,95.0
249,2021-08-27,yellow,27.85,green,95.0,yellow,27.93,green,98.0
250,2021-08-28,green,28.14,green,95.0,green,28.26,green,98.0
251,2021-08-29,yellow,27.75,green,95.0,yellow,27.85,green,93.0
252,2021-08-30,green,26.26,green,97.0,green,26.42,green,93.0
253,2021-08-31,green,25.47,green,97.0,green,25.7,green,94.0
254,2021-09-01,green,25.23,green,89.0,green,25.54,green,96.0
255,2021-09-02,green,24.38,green,80.0,green,24.74,green,91.0
256,2021-09-03,green,24.36,green,86.0,green,24.85,green,90.0
257,2021-09-04,green,25.05,green,87.0,green,25.41,green,81.0
258,2021-09-05,green,25.16,green,89.0,green,25.27,green,87.0
259,2021-09-06,yellow,25.93,green,84.0,green,26.02,green,83.0
260,2021-09-07,yellow,26.67,green,79.0,yellow,26.84,green,85.0
261,2021-09-08,yellow,24.82,green,78.0,green,24.63,green,75.0
262,2021-09-09,yellow,24.67,green,72.0,green,24.61,green,68.0
263,2021-09-10,green,25.35,yellow,53.0,green,25.32,green,73.0
264,2021-09-11,green,26.7,yellow,45.0,green,26.63,green,74.0
265,2021-09-12,yellow,27.0,red,37.0,green,27.0,green,73.0
266,2021-09-13,green,26.84,yellow,51.0,green,26.81,green,79.0
267,2021-09-14,green,26.94,yellow,55.0,green,26.86,green,82.0
268,2021-09-15,green,24.99,green,68.0,green,24.76,green,85.0
269,2021-09-16,yellow,25.2,green,76.0,green,24.99,green,86.0
270,2021-09-17,yellow,26.11,green,78.0,yellow,25.94,green,89.0
271,2021-09-18,yellow,26.62,green,86.0,yellow,26.36,green,91.0
272,2021-09-19,green,26.58,green,91.0,yellow,26.36,green,89.0
273,2021-09-20,yellow,26.82,green,95.0,yellow,26.52,green,96.0
274,2021-09-21,green,23.79,green,92.0,green,23.97,green,95.0
275,2021-09-22,green,23.22,green,92.0,green,23.25,green,95.0
276,2021-09-23,green,23.34,green,80.0,green,22.98,green,91.0
277,2021-09-24,yellow,24.15,green,84.0,green,23.84,green,88.0
278,2021-09-25,green,23.89,green,91.0,green,23.44,green,88.0
279,2021-09-26,green,24.81,green,92.0,green,24.54,green,87.0
280,2021-09-27,yellow,26.7,green,86.0,yellow,26.37,green,89.0
281,2021-09-28,yellow,25.8,green,87.0,yellow,25.33,green,89.0
282,2021-09-29,green,25.96,green,86.0,yellow,25.69,green,91.0
283,2021-09-30,green,25.99,green,87.0,yellow,25.57,green,88.0
284,2021-10-01,green,25.16,green,82.0,green,24.76,green,86.0
285,2021-10-02,green,24.78,green,90.0,green,24.4,green,84.0
286,2021-10-03,green,24.22,green,92.0,green,23.73,green,84.0
287,2021-10-04,green,23.81,green,94.0,green,23.32,green,88.0
288,2021-10-05,green,23.5,green,92.0,green,23.2,green,89.0
289,2021-10-06,green,23.6,green,94.0,green,23.28,green,89.0
290,2021-10-07,green,23.7,green,93.0,green,23.3,green,91.0
291,2021-10-08,green,24.04,green,96.0,green,23.58,green,91.0
292,2021-10-09,green,25.27,green,95.0,green,24.85,green,90.0
293,2021-10-10,yellow,25.53,green,89.0,yellow,25.15,green,89.0
294,2021-10-11,green,23.55,green,83.0,green,23.12,green,89.0
295,2021-10-12,green,23.23,green,78.0,green,22.81,green,88.0
296,2021-10-13,green,23.89,green,88.0,green,23.56,green,88.0
297,2021-10-14,green,23.31,green,88.0,green,22.81,green,86.0
298,2021-10-15,green,22.89,green,87.0,green,22.24,green,87.0
299,2021-10-16,green,22.94,green,92.0,green,22.02,green,90.0
300,2021-10-17,green,22.98,green,87.0,green,22.15,green,90.0
301,2021-10-18,green,23.38,green,95.0,green,22.68,green,92.0
302,2021-10-19,green,22.97,green,97.0,green,22.34,green,90.0
303,2021-10-20,green,23.51,green,95.0,green,23.06,green,88.0
304,2021-10-21,green,22.2,green,95.0,green,21.88,green,90.0
305,2021-10-22,green,21.89,green,96.0,green,21.65,green,88.0
306,2021-10-23,green,22.06,green,98.0,green,22.04,green,94.0
307,2021-10-24,green,22.22,green,98.0,green,22.28,green,94.0
308,2021-10-25,yellow,21.75,green,98.0,green,21.66,green,94.0
309,2021-10-26,green,22.0,green,96.0,green,21.75,green,94.0
310,2021-10-27,green,21.42,green,96.0,green,21.73,green,85.0
311,2021-10-28,green,21.33,green,96.0,green,21.43,green,85.0
312,2021-10-29,green,21.11,green,94.0,green,21.42,green,94.0
313,2021-10-30,green,20.89,green,94.0,green,21.04,green,94.0
314,2021-10-31,green,20.56,green,97.0,green,20.67,green,96.0
315,2021-11-01,yellow,20.04,green,96.0,green,20.21,green,90.0
316,2021-11-02,yellow,19.81,green,90.0,green,20.12,green,91.0
317,2021-11-03,yellow,19.68,green,96.0,green,19.9,green,98.0
318,2021-11-04,yellow,19.77,green,98.0,green,19.98,green,94.0
319,2021-11-05,yellow,20.08,green,97.0,green,20.02,green,97.0
320,2021-11-06,green,20.56,green,97.0,green,20.19,green,94.0
321,2021-11-07,yellow,21.11,green,96.0,green,20.62,green,94.0
322,2021-11-08,green,21.03,green,94.0,green,20.91,green,96.0
323,2021-11-09,green,20.71,green,84.0,green,20.75,green,94.0
324,2021-11-10,yellow,20.79,green,97.0,green,20.62,green,96.0
325,2021-11-11,yellow,20.57,green,96.0,green,20.28,green,99.0
326,2021-11-12,yellow,19.83,green,94.0,green,19.59,green,97.0
327,2021-11-13,yellow,19.89,green,94.0,green,19.72,green,96.0
328,2021-11-14,yellow,20.06,green,99.0,green,19.69,green,94.0
329,2021-11-15,yellow,19.6,green,94.0,green,19.71,green,98.0
330,2021-11-16,green,20.49,green,96.0,green,20.21,green,96.0
331,2021-11-17,green,20.63,green,94.0,green,20.52,green,96.0
332,2021-11-18,yellow,19.61,green,97.0,green,19.74,green,94.0
333,2021-11-19,yellow,19.53,green,96.0,green,19.77,green,94.0
334,2021-11-20,green,20.92,green,96.0,green,20.65,green,99.0
335,2021-11-21,yellow,20.64,green,96.0,green,20.64,green,97.0
336,2021-11-22,yellow,19.52,green,97.0,green,19.63,green,97.0
337,2021-11-23,yellow,19.72,green,94.0,green,20.02,green,91.0
338,2021-11-24,yellow,20.86,green,94.0,green,20.84,green,96.0
339,2021-11-25,green,19.96,green,96.0,green,19.75,green,96.0
340,2021-11-26,yellow,19.45,green,97.0,green,19.5,green,96.0
341,2021-11-27,yellow,19.84,green,93.0,green,19.89,green,96.0
342,2021-11-28,yellow,19.33,green,94.0,green,19.72,green,96.0
343,2021-11-29,yellow,19.71,green,99.0,green,20.07,green,97.0
344,2021-11-30,yellow,20.34,green,96.0,green,20.46,green,97.0
345,2021-12-01,green,20.46,green,96.0,green,20.63,green,97.0
346,2021-12-02,yellow,20.73,green,97.0,green,20.78,green,94.0
347,2021-12-03,green,20.59,green,88.0,green,20.66,green,94.0
348,2021-12-04,yellow,20.35,green,93.0,green,20.26,green,84.0
349,2021-12-05,green,20.81,green,93.0,green,20.63,green,84.0
350,2021-12-06,green,19.48,green,82.0,green,19.84,green,70.0
