,Date (America/Chicago),"Maschhoff_TPLJ_RM2_C Temp shock - color
 (MO201301-4TG24WHN)","Maschhoff_TPLJ_RM2_CTemp (°C) - data
 (MO201301-4TG24WHN)","Maschhoff_TPLJ_RM2_C ReHS - color
 (MO201301-4TG24WHN)","Maschhoff_TPLJ_RM2_C ReHS - data
(MO201301-4TG24WHN)","Maschhoff_TPLJ_RM2_W Temp shock - color
 (MO201301-MLJQ4R57)","Maschhoff_TPLJ_RM2_WTemp (°C) - data
 (MO201301-MLJQ4R57)","Maschhoff_TPLJ_RM2_W ReHS - color
 (MO201301-MLJQ4R57)","Maschhoff_TPLJ_RM2_W ReHS - data
(MO201301-MLJQ4R57)","Maschhoff_TPLJ_RM1_W Temp shock - color
 (MO201601-CM9R2MZ9)","Maschhoff_TPLJ_RM1_WTemp (°C) - data
 (MO201601-CM9R2MZ9)","Maschhoff_TPLJ_RM1_W ReHS - color
 (MO201601-CM9R2MZ9)","Maschhoff_TPLJ_RM1_W ReHS - data
(MO201601-CM9R2MZ9)","Maschhoff_TPLJ_RM1_C Temp shock - color
 (MO201601-W9GJRDGS)","Maschhoff_TPLJ_RM1_CTemp (°C) - data
 (MO201601-W9GJRDGS)","Maschhoff_TPLJ_RM1_C ReHS - color
 (MO201601-W9GJRDGS)","Maschhoff_TPLJ_RM1_C ReHS - data
(MO201601-W9GJRDGS)","Maschhoff_TPLJ_RM2_E Temp shock - color
 (MO202501-DPMVN7MV)","Maschhoff_TPLJ_RM2_ETemp (°C) - data
 (MO202501-DPMVN7MV)","Maschhoff_TPLJ_RM2_E ReHS - color
 (MO202501-DPMVN7MV)","Maschhoff_TPLJ_RM2_E ReHS - data
(MO202501-DPMVN7MV)","Maschhoff_TPLJ_RM1_E Temp shock - color
 (MO202701-QRND87D5)","Maschhoff_TPLJ_RM1_ETemp (°C) - data
 (MO202701-QRND87D5)","Maschhoff_TPLJ_RM1_E ReHS - color
 (MO202701-QRND87D5)","Maschhoff_TPLJ_RM1_E ReHS - data
(MO202701-QRND87D5)"
147,2021-08-09,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,
148,2021-08-10,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,
149,2021-08-11,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,
150,2021-08-12,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,
151,2021-08-13,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,
152,2021-08-14,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,
153,2021-08-15,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,
154,2021-08-16,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,
155,2021-08-17,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,
156,2021-08-18,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,
157,2021-08-19,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,
158,2021-08-20,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,
159,2021-08-21,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,
160,2021-08-22,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,
161,2021-08-23,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,
162,2021-08-24,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,
163,2021-08-25,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,
164,2021-08-26,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,
165,2021-08-27,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,
166,2021-08-28,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,
